Models,Result f1 scores,file,,,,,,,,
Bernoulli NB,0.441770975,Reader Emotion,,,,,,,,
Multinomial NB,0.217904697,Reader Emotion,,,,,,,,
Svm (linear),0.734285561,Reader Emotion,,,,,,,,
Logistic Regression,0.652572794,Reader Emotion,,,,,,,,
Random Forest,0.821570239,Reader Emotion,,,,,,,,
kNN,0.583490525,Reader Emotion,,,,,,,,
Decision Tree,0.726356772,Reader Emotion,,,,,,,,
XG Boost,0.460232079,Reader Emotion,,,,,,,,`
Bernoulli NB,0.767233202,PTT movie,,,,,,,,
Multinomial NB,0.813933578,PTT movie,,,,,,,,
Svm (linear),0.860924441,PTT movie,,,,,,,,
Logistic Regression,0.851680814,PTT movie,,,,,,,,
Random Forest,0.745789983,PTT movie,,,,,,,,
kNN,0.734528833,PTT movie,,,,,,,,
Decision Tree,0.710726559,PTT movie,,,,,,,,
XG Boost,0.821066491,PTT movie,,,,,,,,
Bernoulli NB,0.849333556,Imdb,,,,,,,,
Multinomial NB,0.868181646,Imdb,,,,,,,,
Svm (linear),0.901593056,Imdb,,,,,,,,
Logistic Regression,0.899369533,Imdb,,,,,,,,
Random Forest,0.760826458,Imdb,,,,,,,,
kNN,0.768317863,Imdb,,,,,,,,
Decision Tree,0.729345425,Imdb,,,,,,,,
XG Boost,0.797507217,Imdb,,,,,,,,
